"","x"
"52","Cornerstone IT Microsoft productivity seminar: 8 a.m.-noon at the City Club of Cleveland, 850 Euclid Ave., Cleveland. Free. For more information and to register, go to cornerstoneit.com/events.asp"
"53","In a state investigation into 11 earthquakes in the region this year, Columbia University seismologist John Armbruster said that the injection of thousands of gallons of brine wastewater daily into the injection well almost certainly caused the quakes. State officials said they believed the well activity caused pressure to build near a fault line and led to the seismic activity."
"54","At Aria, the biggest hotel at recently opened CityCenter, guests have their choice of three large whirlpools and three even larger pools. The cabanas include 42-inch LCD TVs and iPod docks. There's also Liquid, an adults-only venue with dipping pools featuring underwater speakers; (866) 359-7757, http://www.arialasvegas.com."
"55","Overall, U.S. light-vehicle sales averaged an annual rate of 14.6 million in the first quarter. At that pace, U.S. auto sales would finish 2012 with their highest total since 2007. At the beginning of 2012, many best-case scenarios had called for 14 million in sales this year. GM is expecting sales to top that level, Johnson said. Ford said it plans to update its sales forecast Wednesday, which currently calls for 13.3 million to 14.3 million light-vehicle sales."
"56","The collision took place just after 6:30 on Greenwood Lake Turnpike in West Milford."
"57","Prosecco tends to be simpler, with frothier bubbles caused by its mechanical method of carbonation, known as Charmat. Cava undergoes secondary fermentation in the bottle, the expensive method used in Champagne, and also often has toasty aromas from primary fermentation in oak barrels."
"58","Alsop gets out of that jam, but the encounter looms over the entire show, which takes us to 1968. It’s on our minds as we watch Alsop interact with his wife, Susan Mary (Margaret Colin), and the made-up character of stepdaughter Abigail (Grace Gummer)."
"59","Some intersections will experience median and lane closures again as construction on the flood channel progresses this winter."
"60","His departure had been expected because he will reach the mandatory retirement age for Fed bank presidents of 65 in September."
"61","I have failed at Blue Elf aloe twice now. I have read that you should not water it in the summer as it develops some kind of root rot. Is this the case? (Both aloes are under a young mesquite tree.)"
"62","Notes: Head coach George Horton recorded his 600th career Division I victory. ... Oregon improves to 10-2 against ranked opponents. ... For the second time in the all-time series, Oregon shut out Stanford (7-0, 1961). ... Oregon is now 7-2 when Reed gets the start on the mound. ... The Ducks have taken the series from Stanford for three consecutive years (2010-12). ... The Ducks shut out their fourth opponent of the year."
"63","As in, Free Speaker."
"64","Young, 26, is off to a slow start at the plate this season. He's hitting .242 with one homer and five RBIs. He's eligible for free agency for the first time after this season."
"65","Or you can save time and just read this headline: “Fist fight breaks out at dialysis clinic between Kentucky, Louisville fans.”"
"66","FRANKFURT, Germany -- The Frankfurt auto show -- Europe's biggest and traditionally the launchpad for optimistic sales projections -- is a study in contrast as automakers' prepared talking points collided with reality and came away dented."
"67","This is the biggest mistake Ive made so far in my life, Guillen said. When you make a mistake like this, you cant sleep. ... When youre a sportsman, you shouldnt be involved with politics."
"68","After pacesetter Marina Muncan dropped out after five laps, or two kilometers, Rowbury was far ahead of the field of 10 runners for the last 7 1/2 laps."
"69","He must be pretty progressive though, because his armaments expert is a former slave. Medical care, meanwhile, comes courtesy of Native Americans who take Hex in after he gets a shotgun blast to the chest, mumble some prayers, and dose him with hallucinogens. Hex repays them by vomiting up a live crow."
"70","But Gladis gets to show his bad-guy side on Sunday's ""Leverage"" (9 p.m., TNT). In “The 15 Minutes Job,” Gladis plays a sleazy public relations consultant, who becomes a target of Nate Ford (Timothy Hutton) and his team, as they use his own scummy methods against him. I spoke with Gladis over the phone recently, as he talked about his role on the filmed-in-Portland ""Leverage,"" the awesomeness of Portland restaurants and whether we may see Paul Kinsey returning to ""Mad Men."" Questions and answers have been edited for brevity and clarity."
"71","ø""A gentleman saw the ball land and roll, and another gentleman verified he saw the same thing,"" Woods said. ""There were about five or six people that ran over to the ball, and the next thing you know we get down there and there's hundreds of people and no ball. You saw an area there, there's really nothing there. We looked around for a while, and then Mark came over there and analyzed the situation and what was going on. We gave him all the information. The two gentlemen participated in the conversation, and we dropped it as close as we could to where they thought it was picked up."
"72","With that statement, the mayor is on solid ground. The Devils paid $346,576 toward youth and community sports programs and job training programs for the first year of the contract, but did not pay $1.5 million in combined payments over the next three years."
"73","""We're all in shock that he was found,"" she said. ""We never thought it would happen, ever."""
"74","(Manual transmission models, where available; not including destination charges)"
"75","Thiemann could've stuck with Florence, opening more marquee restaurants. Instead, he chose to come back to the streets of Sacramento where he once unloaded his drumming gear and showed up for work shifts at restaurants."
"76","Sure, few of the nearly 400 righteously indignant people who flocked Allen Chapel AME Church this week, demanding that police lock up George Zimmerman, probably know the details about Emmett Till's death."
"77","Possession of marijuana. 300 block E. Chapman Avenue. Reported at 1:42 p.m."
"78","Dunc Tank open: Fan favorite Shelley Duncan doubled to left in the second for the Indians' first hit."
"79","""We are at a time when venture capital doesn't invest as early as it used to,"" said Larry Goldstein, a leading stem cell scientist at UC San Diego. ""So the public has to do it. You may not like the system, but that's the system."""
"80","Dislikes: Complex, confusing controls; clumsy interface; few apps; requires proprietary memory cards; bulky for a portable device"
"81","Is it OK to buy that organic peach in January if it comes from Chile, or is the fuel used to transport it too costly to the planet? What about the lives of the animals killed for food? Or those of the people who work in slaughterhouses or pick strawberries? When words like ""sustainable"" are marketing tools, how can a consumer figure out what to do? And can a family on a budget afford to eat sustainably?"
"82","District officials said Tuesday that the goals listed in the documents are not the duties Simmons is expected to perform on the job. Her responsibilities are spelled out in her position description, according to school board President Peter Calvo."
"83","Contributing: Paul Overberg, USA TODAY"
"84","During Volstad's long winless streak, his Achilles' heel has been an inability to avoid big innings. The problem surfaced again on Saturday when his leadoff walk to Andre Ethier in the second led to a sacrifice fly."
"85","The Lady Invaders led, 4-0, after five innings but Parma took the lead with five runs in the top of the sixth. Scali earned the win and Lizzy Dzurisin was tagged with the loss."
"86","For now, Armstrong and the Denver team's small staff are spending their days doing everything from interviewing potential players to writing their own news releases."
"87","Store owners (and sisters) Lindsay Kroll and Paige Smith established Cake Plate's pop-up shop program to invite national brands to share a section of their boutique for about 10 weeks. ""It's a great way to expand the fashion scene of Napa,"" says Kroll, who opened the boutique in 2007. Trina Turk is the fifth designer to share in the program, joining the list with Benefit Cosmetics, Kirribilla, Leifsdottir and 29 Cosmetics, which received such a positive response that the brand has set up a permanent counter within the boutique."
"88","The target age for the Aloft brand, according to Reay, is people in their 20s, 30s and 40s."
"89","Buzz: Sarah Stephens led Wekiva (1-0) with 5 goals and 9 ground balls. Debbie DeSalvo added 4 goals. Master’s Academy fell to 0-1."
"90","Preparations: Preheat oven to 350 degrees. Spread the rhubarb in a baking dish just large enough to hold it in a single layer. Add vinegar, sprinkle with sugar and add water. Season with salt and pepper to taste."
"91","What a difference five seasons and 5,000 reality shows make."
"92","Welcome back, Billy. And good luck. You'll need it."
"93","LARGO — Pinellas County Sheriff Bob Gualtieri fired a sergeant and three deputies and suspended two other deputies Monday for ""extreme loafing and idling,'' saying their laziness cheated taxpayers and endangered the public."
"94","It costs a lot to send people to prison, and those supporting SB 163 are counting on huge savings from this reform as a source of funding for drug treatment programs. No savings, no treatment."
"95","Material will be posted here as it is processed."
"96","Dave Roland, director of litigation with the Freedom Center of Missouri, presented a letter to the council stating that among other things, there were ""constitutional problems"" with the proposed law."
"97","Fowler had the outright lead until he went bunker-to-bunker on the 16th hole, the second time drawing a plugged lie, and missed a 10-foot par putt. He had a 20-foot birdie putt on the last hole, though it never had a chance. He was the first one in at 14-under 274."
"98","411 Rose Ln, $153,500"
"99","7. Participation. By participating, contestants agree to be bound by these Official Rules and the decisions of Sponsor. Sponsor reserves the right to disqualify persons found tampering with or otherwise abusing any aspect of this Contest as solely determined by Sponsor. In the event the Contest is compromised by a virus, non-authorized human intervention, tampering or other causes beyond the reasonable control of Sponsor which corrupts or impairs the administration, security, fairness or proper operation of the Contest, Sponsor reserves the right in its sole discretion to suspend, modify or terminate the Contest. Should the Contest be terminated prior to the stated expiration date, Sponsor reserves the right to award prizes based on the entries received before the termination date. Sponsors will not be responsible for incomplete, lost, late, postage-due, misdirected or illegible entries (either photos or ballots), poor quality photos, or for failure to receive entries or votes or other electronic communications due to transmission failures or technical failures of any kind, including, without limitation, malfunctioning of any network, hardware or software, whether originating with sender or Sponsor. In the event of a dispute, all online entries will be deemed to have been submitted by the owner of the ISP account from which they were sent. For these purposes, an ISP account holder shall mean the natural person assigned to such ISP account by the Internet access provider, online service provider or other organization responsible for assigning ISP addresses for the domain associated with such ISP account. Any questions regarding the number of entries, or votes submitted or the owner of an ISP account shall be determined by Sponsor in its sole discretion, and Sponsor reserves the right to disqualify any entries or votes by persons determined to be tampering with or abusing any aspect of the Contest."
"100","The contrast there, in policies, is remarkably clear. Obama promises to use government as a lever to ensure fairness. Opponents Romney and Newt Gingrich promise to repeal Obama legislation they say has helped weaken the economy, such as his health care law and tighter rules on Wall Street behavior."
"101","No matter when winter arrives, photographer Mike Rudolf embraces it."
"102","Elected supervisor in an uncontested election."
"103","You only have to attend the 51-year-old Volunteer Center Orange County's annual ""Spirit of Volunteerism Awards"" to feel good about humankind. More than 270 volunteers were honored at the non-profit's 33rd annual awards luncheon April 14th at the Disneyland Hotel in Anaheim. Among those making it happen were event chair Jessica Blanche of Rutan and Tucker, VCOC President/CEO Dan McQuaidand former VCOC board chairman Bill Ford, who served as event emcee. Honorees were recognized in the following categories and presented by the following individuals: Arts - Michelle Jordan of Rutan and Tucker; Law Enforcement - Orange County Sheriff Sandra Hutchens; Human and Community Services - Jordan and VCOC COO Tim Strauch; Health - Heather Herdof Rutan and Tucker; Animals and the Environment - Sharon Hartshorn, past ""Giving is Living"" honoree with husband Terry; and Corporate - McQuaid."
"104","""This all took a lot of give and take and Charlie certainly made some moves that are in the best interests of the county and that's a good thing,"" he said."
"105","Tina Fey - 30 Rock"
"106","Is there a simple solution?"
"107","Add wine, chicken broth and lemon juice to skillet. Bring to a boil; reduce heat to a simmer and simmer, uncovered, for 5 minutes. Whisk flour into evaporated milk. Pour milk mixture into lemon juice mixture in skillet. Cook, stirring constantly until sauce bubbles and thickens."
"108","DULUTH, Minn. - The state DFL party has endorsed former congressman Rick Nolan to oppose Republican U.S. Rep. Chip Cravaack in the state's 8th Congressional District."
"109","Spend a Friday or Saturday night at one of 10 hotels in the city of Santa Clara and receive two admission tickets to California's Great America theme park."
"110","Half of the 75-minute set list was dedicated to the group’s self-titled third release, which came out last year. Although it was often difficult to hear the crowd over the band, the audience was definitely involved all night. Lee stopped to commend the room’s energy several times. When she invited her fans to join her singing they nearly overwhelmed her voice."
"111","She says she may need to find another way to generate cash in the future if her classes and other sources of revenue don't grow over the next two years. But she has no plans to stop selling raw milk."
"112","How much the government makes or loses on those other parts of the AIG rescue will determine whether it comes out in the black on the overall bailout of the insurer."
"113","215 Midlothian Rd, $12,100"
"114","Ditto the outside glass including the windshield, side windows and back glass. I've even used Brasso metal polish and/or a single edge razor blade to remove tar, dirt, bugs and other road crud from the glass, followed by the automotive glass cleaner and newspaper routine to remove the residue. (The metal polish will not scratch the glass.)"
"115","At the same time, Marquis Robinson, 24, of Newark was killed and a woman was wounded in a shooting in the 300 block of Osborne Terrace in what police are terming a drug-related slaying."
"116","Dispatched to a one-story brick warehouse in flames on Baylis Street in Canton last month, firefighters did not know it contained 8,000 gallons of corrosive chemicals. But not because it wasn't known to the Baltimore City Fire Department."
"117","Rams in the house"
"118","Thoroughly wash the new divisions and allow them to dry completely for several days in a shady, airy place, on a layer of newspaper. Remember that they are near dormancy so no harm will be done."
"119","Napoleon's Hundred Days -- a comeback try -- closed badly, with a career-ending defeat at the Battle of Waterloo. That's not the best comparison to make for an early-term Ohio Republican governor."
"120","""Most of the time a full-scholarship player is one who can pitch for you on the weekend and hit in the middle of the order right out of the gate,"" Fox said. ""Those are the most talented players that are going to go in the first or second round of the draft. The scholarship amount isn't going to be enough to keep these kids from signing pro contracts."""
"121","The report said the second plane, a Cessna, was within three-quarters of a mile laterally and 100 feet vertically of the Bombardier jet but was not considered on a collision course. The Bombardier pilot did not see the Cessna, which was was not in communication with air traffic control at the time, according to the report."
"122","Though Blackwell's family declined to comment, relatives of his girlfriend said after the sentencing hearing that he was a ""good guy."""
"123","Also targeted were two detached residential sheds and garages on Hayes Street and on New Bedford Road. The fourth incident was again on Woolley Road where tools were stolen from a pick-up truck."
"124","Going forward could mean that Adams and one of her best friends, Maryland coach Cathy Reese, would face off for the first time in the quarterfinals. The former Terrapins teammates coached together at Maryland before Adams took the Loyola job."
"125","Police found the car less than a mile away, at Beaubien and Philadelphia, but Bianca was missing."
"126","Over the next few months, Roberts did everything from following a pen back and forth with his eyes to moving his head side to side while focusing on a distant, fixed point. By June he was fielding balls tossed from behind him over one shoulder, then another."
"127","3. Place 1 teaspoon of the filling in the center of a wonton paper. Paint a line of water on the edges with your finger."
"128","Alliant Techsystems Inc. said Thursday it's continuing to adjust to a future with less NASA and military-related business while taking steps to shore up profits from products it sells to non-military customers."
"129","Mormons and other Christians who advocate sealing the borders and the mass deportation of immigrants are out of sync with the official position of the Mormon Church and Christianity's universal tenet that we are all God's children."
"130","Marshall's lawyer, Jeffrey Neilson of Bloomfield Hills, wouldn't comment on the dispute."
"131","What we have is a political collapse of epic proportion. And yet it should have been obvious to anyone paying the least bit of attention that his campaign was always headed this way."
"132","Jeannine Stein: I'll start off by asking something that's on a lot of people's minds: Radioactive isotopes are headed toward California after being released from the nuclear plant in Japan. We've been told that there's nothing to worry about, that the radiation levels are very low and not potentially harmful. Still, many people are worried. From what you know about this, is there any cause for alarm at this point?"
"133","Angela Jane Zevchek"
"134","“I am certainly looking forward to the pads going on,” said Rutgers coach Kyle Flood. “I know the linemen more so than anybody, the front seven on both sides, they always look forward to getting to practice three when the pads go on officially.”"
"135","Pizzeria Ortica in Costa Mesa puts more emphasis on the pizzas, though the menu also offers the gamut of antipasti, salads, pastas and main courses. This is Sona and Comme Ça owner David Myers' first foray into Italian, with Steve Samson, whom you might remember as chef at Valentino a few years back, as chef de cuisine. Samson has made it his business to get the dough right, using a 300-year-old biga or sourdough starter from outside Naples, Italy (wonder how he got that baby through customs?). The thin crust has wonderful flavor and picks up some smokiness from the oven. Consider the Calabrese with San Marzano tomatoes, mozzarella, rapini, hot little Calabrese peppers and shaved bottarga (dried pressed roe). The Margherita is classic, and you can add prosciutto and wild arugula to it, or salami and mushrooms. But the most unusual is the pie topped with fresh ricotta, guanciale, scallions and a dusting of fennel pollen. The place also has some terrific antipasti, such as house-cured yellowfin tuna with borlotti beans, charred octopus with potatoes and celery or carciofi (artichokes) alla Romana. Note: On the first and third Saturday of every month, Samson will be teaching a pizza class at the restaurant."
"136","Fish said that Ali Shama has yet to adequately respond to him and now says that if he doesn't hear back from him within ""roughly"" a week he plans on filing a charge of discrimination with the U.S. Equal Employment Opportunity Commission (EEOC) under Title VII of the Civil Rights Act, which prohibits discrimination in the workplace based on race, color or religion."
"137","Inspired by a true story, it begins with a date night at the movies for young marrieds Paige (McAdams) and Leo (Tatum). Then an accident on the way home, capped by a trip to the emergency room that feels like a pale version of ""Grey's Anatomy,"" changes everything. When Paige wakes up from a medically induced coma, her memory has been wiped clean, and thus starts Leo's bid to help her remember their life and their love, and when she doesn't, he tries to get her to fall for him again."
"138","Sen. Kevin Bacon, a Columbus-area Republican who was instrumental in passing the law, acknowledged parts of the bill could be reintroduced next year if the referendum succeeds and the law is overturned."
"139","Thomas said it is still very ""premature"" in the process, but added that the county will follow up with the State Highway Administration."
"140","Fisher said he's thrilled to join the Chicago-based organization because it is focused on helping cities to thrive and to improve opportunity, talent and leadership."
"141","In theory, the effect of cellphones on driver performance should be relatively easy to determine: Compare crash data against phone records of drivers involved in accidents. But phone records are not easily obtained in the United States, forcing researchers in this country to find less direct ways to analyze the danger of cellphone distraction. The issue is further clouded by the fact that auto accidents overall have been decreasing even as cellphones become more common."
"142","Ficano's appointees work for the county in a variety of roles, including running departments, outreach programs and the like. They're all paid with public dollars -- about half of his 187 appointees last year made $100,000 or more."
"143","U.S. Rep. Albio Sires (NJ-13):"
"144","Added to the current North/South configuration will be a central division."
"145","Joey Coulter, George Cushman, Mike Harmon and Bobby Gerhart were treated and released at the infield care center after a 12-car crash just 11 laps in."
"146","Law enforcement agencies around the country had increased security at airports, nuclear plants, train stations and elsewhere in the weeks leading to Sept. 11. The latest threat made those measures more urgent."
"147","Republicans questioned whether Santorum could appeal to party moderates and independents — and female voters — if he were the party's nominee."
"148","""I'm a firm believer that less is more,"" says Forgione. ""I'd rather have three amazing sides that all taste delicious than 10 OK sides."""
"149","Go jump in the lake, Stevie, and while you're down there give that fan his camera back..."
"150","I thought about Boyer's words when I came across a recent pair of videos from Harvard University that went viral via Huffington Post. Made by using a trademarked camera-scope called the M2A, they show how food or, perhaps more important, nonfood, breaks down inside the body (tinyurl.com/cameralook)."
"151","""We stayed at George's house in Detroit, did preproduction in his living room and recorded at United Sound, with Aretha Franklin working down the hall,"" said Martinez, 58, who grew up in Columbus."
"152","""There's going to be a lot of factors - guys are going to get demoralized, they'll start to splinter or start to give up, and we can't let that happen. We've got to be professional, we got to take pride in what we're doing and fight for each other and see how many of these games we can win."""
"153","DeKalb prosecutors say Hemy Neuman fatally shot Rusty Sneiderman last November after the 36-year-old entrepreneur dropped his son off at Dunwoody Prep. Neuman pleaded not guilty at a hearing earlier this month."
"154","Should the Related deal be approved, it would put the Manhattan firm in charge of yet another of the largest development sites in the city."
"155","""The fact that they're serving as a role model is fantastic,"" he said. ""I'm super appreciative."""
"156","The woman, 61-year-old Lana Hollingsworth, was airlifted to Scottsdale Healthcare Osborn Medical Center and underwent surgery. She is in stable but serious condition, officials said."
"157","There were an estimated 2,000 finishers in the 10-mile run, 3,500 in the 5-mile race and 3,500 in the 5K."
"158","Not to mention run support for guys such as Chris Volstad (0-3), who nursed a 1-1 game into the sixth inning before allowing a run-scoring double to Carlos Beltran, followed by a two-run home run to David Freese. That left Volstad winless again in a streak that now spans 15 starts dating to before the 2011 All-Star break."
"159","Team Canada management also will be looking to see what type of leadership qualities Sharp brings to the table. Sharp is the second-oldest on this year's squad, behind only the Vancouver Canucks' Alexandre Burrows, and has the second-most NHL seasons under his belt compared to any other player on the roster behind only the Calgary Flames' Jay Bouwmeester. Sharp will be 32 years old by the time the 2014 Games are underway."
"160","Even rent hadn't been paid. The school risked losing one of its campuses."
"161","½ ounce Stoli Strasberi"
"162","8 ounces extra-lean (93 percent) ground beef"
"163","""We had a lot of things go wrong, bad luck, some things self-inflicted, but the kids never stopped playing,"" Lowery said. ""They never let any of this affect them."""
"164","She has been widely praised for her fashion choices and her emphasis on British designers - many of the outfits she chooses become immediate favorites, selling out within hours."
"165","Early line: Ravens by 71/2."
"166","Bargains: Sit at the kitchen bar and wash down $3 pork tacos with your favorite tequila."
"167","Mesa Vice Mayor Scott Somers said that while Able was heavily recruited by such states as Alabama, North Carolina and Texas, Mesa Economic Development staffers moved aggressively to accommodate the company's interests in a site at the southeast Mesa airport."
"168","Earlier this year, Naturally Advanced Technologies announced commercialization or development agreements for its CRAiLAR Flax fiber with HanesBrands, Georgia-Pacific, Levi Strauss & Co., Cintas, Carhartt, Ashland, Westex and Brilliant Global Knitwear."
"169","A. Honk doesn't have his abacus handy, so he isn't sure how many semis bypass the truck lanes. But they can."
"170","Watch our video on setting a fun and casual table for your crab feast with celebrity designer and Pottery Barn Style Expert Nathan Turner."
"171","Barcelona midfielder Xavi Hernandez scored a goal in his 400th Spanish league appearance Sunday in a 4-2 victory over Real Betis."
"172","Royal Oak Public Library: Screening of ""The Legacy Project,"" a documentary honoring Michigan's World War II heroes and Honor Flight Michigan. Also a discussion with filmmakers and producers. 2 p.m. Sat. 222 E. Eleven Mile, Royal Oak. 248-246-3727. www.ropl.org. Free. Register."
"173","Some board members expressed concern over labeling an account exclusively for Twin Echo, but would be in favor of setting money aside for future construction projects. The district recently applied for a $5 million early childhood construction grant, that if awarded, would be used to turn Twin Echo into an early childhood education center and get rid of the portable classrooms. The district would be responsible for 10 percent of the grant amount, $500,000."
"174","Then, with the voice of a general, Mazzone paraphrases George Patton: ""A simple plan, finely executed today, is better than a perfect plan executed next week."""
"175","Tierney and his staff wanted separation between LaPlante, a high school All-American from Fort Collins, and Faus, a New England native who helped lead DU to its historic Final Four run a year ago."
"176","Caterpillar's results are watched closely because they are considered an indicator of industrial activity and the health of the overall economy."
"177","Now, in a new decade, Santorum is back."
